id,name,sex,position,Derzeitige NGO,Andere NGO,Organisation,Politik,Medien/Rundfunk/Fernsehen
Zaspel,Daniel Zaspel,m,Vorstand,ToG ,,,,
Lorenz,Klaus Lorenz,m,Vorstand,ToG ,,,,
Rollefson,Aisha Rollefson,w,Vorstand,ToG ,,,,
Bellmann,Olaf Bellmann,m,Vorstand,ToG ,,,,
Abraham,Boaz Abraham,m,Vorstand,ToG ,,,,
Hoppenheit,Antje Hoppenheit,w,Vorstand,ToG ,,,,
Deger,Leopold Deger,m,Vorstand,ToG ,,,,
Jakobs,Juergen Jakobs,m,Aufsichtsrat,DAHW,,,,
Potschka,Christof Potschka,m,Aufsichtsrat,DAHW,,,,
Wollenschlaeger,Sibylle Wollenschlaeger,w,Aufsichtsrat,DAHW,,AWR Deutsche Sektion eV Forschungsgesellschaft für das Weltfluechtlingsproblem Association for the Study of the World Refugee Problem,,
Kloetzer,Ralf Kloetzer,m,Aufsichtsrat,DAHW,,,,
Greulich,HansDieter Greulich,m,Aufsichtsrat,DAHW,,Caritas,,
Miesen,Patrick Miesen,m,Praesident,DAHW,,,,
Hammerschmidt,Maria Hammerschmidt,w,Vorstand,DAHW,,,,
Mack,Stefan Mack,m,Vorstand,DAHW,,,,
Schroeren,Jochen Schroeren,m,Vorstand,DAHW,,,,
Klement,Dietmar Klement,m,Vorstand,DAHW,,,,
Dullinger,Werner Dullinger,m,Aufsichtsrat,ADRA,,Freikirche der SiebentenTagsAdventisten in Deutschland,,
Zens,Norbert Zens,m,Aufsichtsrat,ADRA,,,,
Martins,Joao Martins,m,Aufsichtsrat,ADRA,,,,
Brito,Mario Brito,m,Aufsichtsrat,ADRA,,,,
Naether,Johannes Naether,m,Vorstand,ADRA,,Freikirche der SiebentenTagsAdventisten in Deutschland,,
